order_id,store,sale_date,revenue_cny,category,sale_date_raw,date_parse_fail,revenue_raw,revenue_num,revenue_parse_fail,category_norm,revenue_negative,revenue_outlier_flag
1001,朝阳店,2023-01-05,856,Online,2023/01/05,FALSE,856,856,FALSE,线上,FALSE,FALSE
1002,朝阳店,2023-01-09,432,online,2023-01-09,FALSE,432,432,FALSE,线上,FALSE,FALSE
1003,海淀店,2023-01-15,1280,线下,20230115,FALSE,1280,1280,FALSE,线下,FALSE,FALSE
1004,海淀店,2023-01-18,"¥1,234",Offline,2023/01/18,FALSE,"¥1,234",1234,FALSE,线下,FALSE,FALSE
1005,西城店,2023-01-20,977,ONLINE,2023-01-20,FALSE,977,977,FALSE,线上,FALSE,FALSE
1006,西城店,2023-02-01,NA,线上,2023/02/01,FALSE,NA,NA,FALSE,线上,FALSE,FALSE
1007,朝阳店,2023-02-03,1105,线下,20230203,FALSE,1105,1105,FALSE,线下,FALSE,FALSE
1008,NA,2023-02-08,689,offline,2023-02-08,FALSE,689,689,FALSE,线下,FALSE,FALSE
1009,丰台店,2023-02-11,452,Online,2023/02/11,FALSE,452,452,FALSE,线上,FALSE,FALSE
1010,朝阳店,2023-02-14,99999,线上,2023-02-14,FALSE,99999,99999,FALSE,线上,FALSE,TRUE
1011,海淀店,2023-02-16,733,online,20230216,FALSE,733,733,FALSE,线上,FALSE,FALSE
1012,西城店,2023-02-20,618,线下,2023/02/20,FALSE,618,618,FALSE,线下,FALSE,FALSE
1013,丰台店,2023-02-22,-120,ONLINE,2023-02-22,FALSE,-120,-120,FALSE,线上,TRUE,FALSE
1014,朝阳店,2023-02-25,842,offline,20230225,FALSE,842,842,FALSE,线下,FALSE,FALSE
1015,海淀店,2023-03-01,505,Online,2023/03/01,FALSE,505,505,FALSE,线上,FALSE,FALSE
1016,朝阳店,2023-03-03,"¥2,058",线上,2023-03-03,FALSE,"¥2,058",2058,FALSE,线上,FALSE,TRUE
1017,西城店,2023-03-05,277,offline,20230305,FALSE,277,277,FALSE,线下,FALSE,FALSE
1018,丰台店,2023-03-08,921,Online,2023/03/08,FALSE,921,921,FALSE,线上,FALSE,FALSE
1019,朝阳店,2023-03-10,664,online,2023-03-10,FALSE,664,664,FALSE,线上,FALSE,FALSE
1020,海淀店,2023-03-12,388,线下,20230312,FALSE,388,388,FALSE,线下,FALSE,FALSE
1021,朝阳店,2023-03-15,1102,ONLINE,2023/03/15,FALSE,1102,1102,FALSE,线上,FALSE,FALSE
1022,西城店,2023-03-17,745,线上,2023-03-17,FALSE,745,745,FALSE,线上,FALSE,FALSE
1023,丰台店,2023-03-19,296,offline,20230319,FALSE,296,296,FALSE,线下,FALSE,FALSE
1024,朝阳店,2023-03-22,853,Online,2023/03/22,FALSE,853,853,FALSE,线上,FALSE,FALSE
1025,海淀店,2023-03-24,467,online,2023-03-24,FALSE,467,467,FALSE,线上,FALSE,FALSE
1026,朝阳店,2023-03-26,1218,线下,20230326,FALSE,1218,1218,FALSE,线下,FALSE,FALSE
1027,西城店,2023-03-29,589,OFFLINE,2023/03/29,FALSE,589,589,FALSE,线下,FALSE,FALSE
1028,丰台店,2023-03-31,902,online,2023-03-31,FALSE,902,902,FALSE,线上,FALSE,FALSE
1029,朝阳店,2023-04-02,356,线上,20230402,FALSE,356,356,FALSE,线上,FALSE,FALSE
1030,海淀店,2023-04-04,774,Online,2023/04/04,FALSE,774,774,FALSE,线上,FALSE,FALSE
1031,朝阳店,2023-04-06,641,online,2023-04-06,FALSE,641,641,FALSE,线上,FALSE,FALSE
1032,西城店,2023-04-08,1088,线下,20230408,FALSE,1088,1088,FALSE,线下,FALSE,FALSE
1033,丰台店,2023-04-10,NA,OFFLINE,2023/04/10,FALSE,NA,NA,FALSE,线下,FALSE,FALSE
1034,朝阳店,2023-04-12,523,线上,2023-04-12,FALSE,523,523,FALSE,线上,FALSE,FALSE
1035,海淀店,2023-04-14,967,Online,20230414,FALSE,967,967,FALSE,线上,FALSE,FALSE
1036,朝阳店,2023-04-16,434,online,2023/04/16,FALSE,434,434,FALSE,线上,FALSE,FALSE
1037,西城店,2023-04-18,890,offline,2023-04-18,FALSE,890,890,FALSE,线下,FALSE,FALSE
1038,丰台店,2023-04-20,612,线下,20230420,FALSE,612,612,FALSE,线下,FALSE,FALSE
1039,朝阳店,2023-04-22,1077,ONLINE,2023/04/22,FALSE,1077,1077,FALSE,线上,FALSE,FALSE
1040,海淀店,2023-04-25,748,online,2023-04-25,FALSE,748,748,FALSE,线上,FALSE,FALSE
